winner_id,tourney_id,match_won
105454,2016-0315,1
105216,2016-0315,1
104804,2016-0315,1
105881,2016-0315,1
103607,2016-0315,1
104330,2016-0315,1
105032,2016-0315,1
111578,2016-0315,1
105449,2016-0315,1
105441,2016-0315,1
104269,2016-0316,4
105077,2016-0316,4
105671,2016-0316,3
123921,2016-0316,3
105967,2016-0316,2
103970,2016-0316,2
104460,2016-0316,2
105872,2016-0316,2
106137,2016-0316,2
105487,2016-0316,2
105063,2016-0316,2
105311,2016-0316,1
104007,2016-0316,1
105379,2016-0316,1
103656,2016-0316,1
106148,2016-0316,1
105677,2016-0316,1
106201,2016-0316,1
106121,2016-0316,1
105691,2016-0316,1
144797,2016-0316,1
105539,2016-0316,1
105932,2016-0319,4
103893,2016-0319,4
105589,2016-0319,3
104593,2016-0319,3
105583,2016-0319,3
105526,2016-0319,2
111575,2016-0319,2
104932,2016-0319,2
104216,2016-0319,2
103781,2016-0319,2
103835,2016-0319,2
106361,2016-0319,2
105731,2016-0319,1
106148,2016-0319,1
103926,2016-0319,1
105819,2016-0319,1
106390,2016-0319,1
104997,2016-0319,1
104999,2016-0319,1
122078,2016-0319,1
103285,2016-0321,4
104252,2016-0321,4
104259,2016-0321,4
106233,2016-0321,4
104660,2016-0321,3
105223,2016-0321,3
104802,2016-0321,2
104022,2016-0321,2
103819,2016-0321,2
102864,2016-0321,1
103582,2016-0321,1
126203,2016-0321,1
105216,2016-0321,1
106045,2016-0321,1
105032,2016-0321,1
104897,2016-0321,1
105526,2016-0321,1
104468,2016-0321,1
105357,2016-0321,1
104868,2016-0321,1
104527,2016-0322,4
104586,2016-0322,3
105227,2016-0322,3
103970,2016-0322,2
105539,2016-0322,2
105751,2016-0322,2
106426,2016-0322,2
104676,2016-0322,2
105723,2016-0322,2
105643,2016-0322,2
105807,2016-0322,2
104198,2016-0322,2
105493,2016-0322,1
105077,2016-0322,1
105208,2016-0322,1
126627,2016-0322,1
105064,2016-0322,1
104252,2016-0322,1
104330,2016-0322,1
105438,2016-0322,1
104797,2016-0322,1
105449,2016-0322,1
105161,2016-0322,1
105227,2016-0328,5
104999,2016-0328,5
105453,2016-0328,4
105385,2016-0328,3
104180,2016-0328,3
105575,2016-0328,3
105223,2016-0328,2
104898,2016-0328,2
104527,2016-0328,2
104719,2016-0328,2
105643,2016-0328,2
105550,2016-0328,1
105992,2016-0328,1
103893,2016-0328,1
106058,2016-0328,1
104847,2016-0328,1
126774,2016-0328,1
105676,2016-0328,1
104252,2016-0328,1
105060,2016-0328,1
105807,2016-0328,1
106401,2016-0329,5
105676,2016-0329,4
105227,2016-0329,3
104792,2016-0329,3
103285,2016-0329,3
105902,2016-0329,3
103333,2016-0329,2
104180,2016-0329,2
104424,2016-0329,2
105311,2016-0329,2
104338,2016-0329,2
105992,2016-0329,2
105453,2016-0329,1
105385,2016-0329,1
104468,2016-0329,1
104571,2016-0329,1
105577,2016-0329,1
106210,2016-0329,1
117361,2016-0329,1
104269,2016-0329,1
104386,2016-0329,1
105051,2016-0329,1
104918,2016-0337,5
104542,2016-0337,4
103970,2016-0337,3
105932,2016-0337,3
103333,2016-0337,3
106000,2016-0337,3
105077,2016-0337,2
104545,2016-0337,2
111575,2016-0337,2
104678,2016-0337,2
105526,2016-0337,2
103794,2016-0337,2
106361,2016-0337,1
103781,2016-0337,1
105430,2016-0337,1
106233,2016-0337,1
124116,2016-0337,1
105311,2016-0337,1
104468,2016-0337,1
105216,2016-0337,1
104259,2016-0337,1
103852,2016-0337,1
106298,2016-0341,4
104672,2016-0341,3
105932,2016-0341,3
105376,2016-0341,3
106233,2016-0341,3
104291,2016-0341,2
105676,2016-0341,2
103898,2016-0341,2
104180,2016-0341,2
104468,2016-0341,2
106296,2016-0341,2
103917,2016-0341,2
104198,2016-0341,1
103582,2016-0341,1
105011,2016-0341,1
106005,2016-0341,1
104460,2016-0341,1
105526,2016-0341,1
104932,2016-0341,1
105732,2016-0341,1
105341,2016-0341,1
104545,2016-0352,5
104918,2016-0352,5
105526,2016-0352,4
105227,2016-0352,3
106058,2016-0352,3
105683,2016-0352,3
104542,2016-0352,2
104898,2016-0352,2
105583,2016-0352,2
104607,2016-0352,2
105732,2016-0352,2
104468,2016-0352,2
104925,2016-0352,2
103898,2016-0352,2
104312,2016-0352,2
103893,2016-0352,1
104586,2016-0352,1
105077,2016-0352,1
104678,2016-0352,1
105453,2016-0352,1
103852,2016-0352,1
105430,2016-0352,1
105777,2016-0352,1
104655,2016-0352,1
104269,2016-0352,1
106298,2016-0352,1
103333,2016-0352,1
105311,2016-0352,1
105449,2016-0352,1
105992,2016-0352,1
104460,2016-0352,1
105932,2016-0352,1
104291,2016-0352,1
104180,2016-0352,1
105676,2016-0352,1
104755,2016-0352,1
103917,2016-0352,1
105807,2016-0352,1
104571,2016-0352,1
105643,2016-0360,4
106210,2016-0360,3
106432,2016-0360,3
104216,2016-0360,3
103656,2016-0360,3
105254,2016-0360,3
105841,2016-0360,2
105807,2016-0360,2
105487,2016-0360,2
103908,2016-0360,2
105015,2016-0360,2
105217,2016-0360,1
104593,2016-0360,1
111200,2016-0360,1
106288,2016-0360,1
104198,2016-0360,1
104797,2016-0360,1
106172,2016-0360,1
104620,2016-0360,1
126094,2016-0360,1
104597,2016-0360,1
111581,2016-0363,5
105166,2016-0363,4
106026,2016-0363,3
111578,2016-0363,3
105638,2016-0363,3
111582,2016-0363,3
111577,2016-0363,3
106281,2016-0363,2
105572,2016-0363,2
138821,2016-0363,2
111456,2016-0363,2
105100,2016-0363,2
105074,2016-0363,2
126646,2016-0363,1
105281,2016-0363,1
111579,2016-0363,1
105733,2016-0363,1
126152,2016-0363,1
105065,2016-0363,1
111511,2016-0363,1
110749,2016-0363,1
126207,2016-0363,1
106261,2016-0363,1
122248,2016-0363,1
105554,2016-0363,1
105815,2016-0363,1
105032,2016-0363,1
104460,2016-0375,5
104755,2016-0375,4
103908,2016-0375,4
104273,2016-0375,3
104932,2016-0375,3
100644,2016-0375,3
105357,2016-0375,2
111200,2016-0375,2
104571,2016-0375,2
105074,2016-0375,2
103582,2016-0375,2
106293,2016-0375,1
104997,2016-0375,1
105208,2016-0375,1
105526,2016-0375,1
106121,2016-0375,1
104095,2016-0375,1
111575,2016-0375,1
105430,2016-0396,5
132283,2016-0396,4
105526,2016-0396,4
104738,2016-0396,3
105641,2016-0396,3
105963,2016-0396,3
104735,2016-0396,3
104216,2016-0396,3
120424,2016-0396,2
117357,2016-0396,2
106329,2016-0396,2
106075,2016-0396,2
110602,2016-0396,2
103656,2016-0396,2
126646,2016-0396,2
105589,2016-0396,2
104714,2016-0396,1
105493,2016-0396,1
106121,2016-0396,1
105063,2016-0396,1
111576,2016-0396,1
109303,2016-0396,1
106164,2016-0396,1
104291,2016-0396,1
104676,2016-0396,1
104905,2016-0396,1
126125,2016-0396,1
105339,2016-0396,1
106105,2016-0396,1
104563,2016-0396,1
104873,2016-0396,1
111442,2016-0398,5
104233,2016-0398,5
105270,2016-0398,4
106361,2016-0398,4
104893,2016-0398,3
120775,2016-0398,3
104672,2016-0398,3
104932,2016-0398,3
104978,2016-0398,2
105325,2016-0398,2
105732,2016-0398,2
105172,2016-0398,2
105534,2016-0398,2
106348,2016-0398,2
111575,2016-0398,2
126409,2016-0398,1
126149,2016-0398,1
105060,2016-0398,1
105936,2016-0398,1
106415,2016-0398,1
105436,2016-0398,1
106137,2016-0398,1
105967,2016-0398,1
105726,2016-0398,1
105514,2016-0398,1
144895,2016-0398,1
106368,2016-0398,1
106099,2016-0398,1
105714,2016-0398,1
126094,2016-0398,1
106415,2016-0402,4
126203,2016-0402,4
105453,2016-0402,4
105575,2016-0402,3
105967,2016-0402,3
111577,2016-0402,2
111581,2016-0402,2
103794,2016-0402,2
105023,2016-0402,2
105062,2016-0402,2
106045,2016-0402,1
105992,2016-0402,1
104945,2016-0402,1
105385,2016-0402,1
105357,2016-0402,1
104629,2016-0402,1
105430,2016-0402,1
106000,2016-0402,1
105011,2016-0402,1
106216,2016-0402,1
104719,2016-0402,1
201539,2016-0405,5
204294,2016-0405,4
202490,2016-0405,4
211701,2016-0405,4
203504,2016-0405,3
202454,2016-0405,3
201533,2016-0405,3
202450,2016-0405,3
201290,2016-0405,2
203530,2016-0405,2
201674,2016-0405,2
